,carrier_name,Abbr,a_sum,state,fips
1,Alaska Airlines Inc.,AK,29655,Alaska,US02
2,Alaska Airlines Inc.,AZ,2749,Arizona,US04
3,Alaska Airlines Inc.,CA,33632,California,US06
4,Alaska Airlines Inc.,CO,1571,Colorado,US08
5,Alaska Airlines Inc.,DC,1668,District of Columbia,US11
6,Alaska Airlines Inc.,FL,1780,Florida,US12
7,Alaska Airlines Inc.,GA,729,Georgia,US13
8,Alaska Airlines Inc.,HI,7172,Hawaii,US15
9,Alaska Airlines Inc.,ID,177,Idaho,US16
10,Alaska Airlines Inc.,IL,1912,Illinois,US17
11,Alaska Airlines Inc.,IN,204,Indiana,US18
12,Alaska Airlines Inc.,LA,334,Louisiana,US22
13,Alaska Airlines Inc.,MA,1572,Massachusetts,US25
14,Alaska Airlines Inc.,MD,994,Maryland,US24
15,Alaska Airlines Inc.,MI,530,Michigan,US26
16,Alaska Airlines Inc.,MN,724,Minnesota,US27
17,Alaska Airlines Inc.,MO,1012,Missouri,US29
18,Alaska Airlines Inc.,NC,334,North Carolina,US37
19,Alaska Airlines Inc.,NE,332,Nebraska,US31
20,Alaska Airlines Inc.,NJ,1751,New Jersey,US34
21,Alaska Airlines Inc.,NM,334,New Mexico,US35
22,Alaska Airlines Inc.,NV,4184,Nevada,US32
23,Alaska Airlines Inc.,NY,359,New York,US36
24,Alaska Airlines Inc.,OR,14139,Oregon,US41
25,Alaska Airlines Inc.,PA,431,Pennsylvania,US42
26,Alaska Airlines Inc.,SC,191,South Carolina,US45
27,Alaska Airlines Inc.,TN,335,Tennessee,US47
28,Alaska Airlines Inc.,TX,2983,Texas,US48
29,Alaska Airlines Inc.,UT,2163,Utah,US49
30,Alaska Airlines Inc.,WA,55734,Washington,US53
31,American Airlines Inc.,AK,287,Alaska,US02
32,American Airlines Inc.,AR,18,Arkansas,US05
33,American Airlines Inc.,AZ,54488,Arizona,US04
34,American Airlines Inc.,CA,74384,California,US06
35,American Airlines Inc.,CO,12548,Colorado,US08
36,American Airlines Inc.,CT,4091,Connecticut,US09
37,American Airlines Inc.,DC,25888,District of Columbia,US11
38,American Airlines Inc.,FL,93255,Florida,US12
39,American Airlines Inc.,GA,11391,Georgia,US13
40,American Airlines Inc.,HI,6477,Hawaii,US15
41,American Airlines Inc.,IA,1534,Iowa,US19
42,American Airlines Inc.,ID,1015,Idaho,US16
43,American Airlines Inc.,IL,58344,Illinois,US17
44,American Airlines Inc.,IN,3437,Indiana,US18
45,American Airlines Inc.,KS,338,Kansas,US20
46,American Airlines Inc.,KY,235,Kentucky,US21
47,American Airlines Inc.,LA,6618,Louisiana,US22
48,American Airlines Inc.,MA,23966,Massachusetts,US25
49,American Airlines Inc.,MD,5338,Maryland,US24
50,American Airlines Inc.,ME,682,Maine,US23
51,American Airlines Inc.,MI,5692,Michigan,US26
52,American Airlines Inc.,MN,7994,Minnesota,US27
53,American Airlines Inc.,MO,11758,Missouri,US29
54,American Airlines Inc.,MT,131,Montana,US30
55,American Airlines Inc.,NC,98900,North Carolina,US37
56,American Airlines Inc.,NE,1730,Nebraska,US31
57,American Airlines Inc.,NH,26,New Hampshire,US33
58,American Airlines Inc.,NJ,6909,New Jersey,US34
59,American Airlines Inc.,NM,1664,New Mexico,US35
60,American Airlines Inc.,NV,15485,Nevada,US32
61,American Airlines Inc.,NY,39304,New York,US36
62,American Airlines Inc.,OH,5732,Ohio,US39
63,American Airlines Inc.,OK,4411,Oklahoma,US40
64,American Airlines Inc.,OR,3868,Oregon,US41
65,American Airlines Inc.,PA,45709,Pennsylvania,US42
66,American Airlines Inc.,PR,5043,Puerto Rico,US72
67,American Airlines Inc.,RI,2221,Rhode Island,US44
68,American Airlines Inc.,SC,1614,South Carolina,US45
69,American Airlines Inc.,TN,7423,Tennessee,US47
70,American Airlines Inc.,TX,150955,Texas,US48
71,American Airlines Inc.,UT,4226,Utah,US49
72,American Airlines Inc.,VA,4091,Virginia,US51
73,American Airlines Inc.,VI,2175,Virgin Islands,US78
74,American Airlines Inc.,WA,8859,Washington,US53
75,American Airlines Inc.,WI,1780,Wisconsin,US55
76,American Airlines Inc.,WY,570,Wyoming,US56
77,Delta Air Lines Inc.,AK,NA,Alaska,US02
78,Delta Air Lines Inc.,AL,5246,Alabama,US01
79,Delta Air Lines Inc.,AR,2510,Arkansas,US05
80,Delta Air Lines Inc.,AZ,7550,Arizona,US04
81,Delta Air Lines Inc.,CA,58063,California,US06
82,Delta Air Lines Inc.,CO,9720,Colorado,US08
83,Delta Air Lines Inc.,CT,4023,Connecticut,US09
84,Delta Air Lines Inc.,DC,10929,District of Columbia,US11
85,Delta Air Lines Inc.,FL,74601,Florida,US12
86,Delta Air Lines Inc.,GA,227402,Georgia,US13
87,Delta Air Lines Inc.,HI,4882,Hawaii,US15
88,Delta Air Lines Inc.,IA,1233,Iowa,US19
89,Delta Air Lines Inc.,ID,1018,Idaho,US16
90,Delta Air Lines Inc.,IL,NA,Illinois,US17
91,Delta Air Lines Inc.,IN,4994,Indiana,US18
92,Delta Air Lines Inc.,KS,965,Kansas,US20
93,Delta Air Lines Inc.,KY,3623,Kentucky,US21
94,Delta Air Lines Inc.,LA,7358,Louisiana,US22
95,Delta Air Lines Inc.,MA,14739,Massachusetts,US25
96,Delta Air Lines Inc.,MD,6643,Maryland,US24
97,Delta Air Lines Inc.,ME,844,Maine,US23
98,Delta Air Lines Inc.,MI,57014,Michigan,US26
99,Delta Air Lines Inc.,MN,61716,Minnesota,US27
100,Delta Air Lines Inc.,MO,10861,Missouri,US29
101,Delta Air Lines Inc.,MS,3082,Mississippi,US28
102,Delta Air Lines Inc.,MT,3284,Montana,US30
103,Delta Air Lines Inc.,NC,14882,North Carolina,US37
104,Delta Air Lines Inc.,ND,NA,North Dakota,US38
105,Delta Air Lines Inc.,NE,2850,Nebraska,US31
106,Delta Air Lines Inc.,NH,361,New Hampshire,US33
107,Delta Air Lines Inc.,NJ,5109,New Jersey,US34
108,Delta Air Lines Inc.,NM,1308,New Mexico,US35
109,Delta Air Lines Inc.,NV,12928,Nevada,US32
110,Delta Air Lines Inc.,NY,55139,New York,US36
111,Delta Air Lines Inc.,OH,15224,Ohio,US39
112,Delta Air Lines Inc.,OK,2619,Oklahoma,US40
113,Delta Air Lines Inc.,OR,6682,Oregon,US41
114,Delta Air Lines Inc.,PA,11624,Pennsylvania,US42
115,Delta Air Lines Inc.,PR,2417,Puerto Rico,US72
116,Delta Air Lines Inc.,RI,1574,Rhode Island,US44
117,Delta Air Lines Inc.,SC,8278,South Carolina,US45
118,Delta Air Lines Inc.,SD,1054,South Dakota,US46
119,Delta Air Lines Inc.,TN,11850,Tennessee,US47
120,Delta Air Lines Inc.,TX,21530,Texas,US48
